product_id,product_name,unit_price,unit_cost,category_id
PRD0050,Hear Determine,473.96,339.6,C4
PRD0051,Religious Example,437.49,324.75,C5
PRD0052,Science Write,465.17,360.75,C2
PRD0053,Result Raise,359.34,265.88,C2
PRD0054,Away Politics,224.67,168.9,C3
PRD0055,Prove Congress,131.47,92.87,C1
PRD0056,None Shoulder,298.27,215.65,C1
PRD0057,Election Common,13.52,10.42,C2
PRD0058,Maintain Hundred,122.18,96.59,C1
PRD0059,Expect Wish,44.72,32.37,C3
PRD0060,Push Rise,114.98,82.01,C4
PRD0061,Onto Discuss,292.34,211.74,C5
PRD0062,Reveal Garden,405.67,291.69,C4
PRD0063,Threat Special,332.9,244.82,C1
PRD0064,Stand Arrive,238.84,184.6,C4
PRD0065,Drop Term,39.7,30.68,C1
PRD0066,Almost Support,131.84,94.8,C1
PRD0067,Four Institution,78.69,56.53,C4
PRD0068,Executive Attorney,132.41,104.91,C4
PRD0069,Development White,405.93,318.9,C4
PRD0070,Yes Our,34.79,27.83,C1
PRD0071,Under Serious,484.81,384.28,C1
PRD0072,Forward Difference,91.49,68.49,C2
PRD0073,Reality Money,433.68,342.71,C2
PRD0074,Individual Usually,195.7,156.27,C2
PRD0075,Who Question,463.99,361.22,C3
PRD0076,Low Character,217.27,172.89,C3
PRD0077,Evidence Chair,334.32,250.29,C5
PRD0078,Employee Size,155.39,123.83,C2
PRD0079,Option Nothing,370.51,261.62,C5
PRD0080,Everyone Skin,38.01,28.83,C3
PRD0081,Pattern Later,460.5,346.81,C5
PRD0082,Water Past,480.78,340.4,C1
PRD0083,Inside High,43.58,30.8,C2
PRD0084,Discuss Certainly,207.85,165.07,C2
PRD0085,Mr Minute,130.65,99.22,C5
PRD0086,Benefit Someone,50.17,38.42,C5
PRD0087,Anyone Traditional,266.16,211.19,C5
PRD0088,Break Claim,338.17,247.34,C2
PRD0089,Product Collection,203.94,156.46,C3
PRD0090,Structure Response,234.04,185.57,C3
PRD0091,Knowledge Pick,14.56,11.1,C1
PRD0092,Attack Image,498.09,352.31,C5
PRD0093,I Pick,257.88,183.93,C2
PRD0094,Management Newspaper,441.62,347.96,C3
PRD0095,Enter On,149.64,111.3,C3
PRD0096,Traditional Yes,354.73,270.01,C5
PRD0097,Activity Response,13.83,10.81,C5
PRD0098,Set Building,466.56,331.42,C3
PRD0099,Rest Value,139.59,110.13,C2
PRD0100,Not Social,86.17,62.75,C5
PRD0101,Example Specific,361.63,260.5,C2
PRD0102,Put Grow,257.65,186.83,C3
PRD0103,Brother Finally,55.23,41.0,C1
PRD0104,Learn Coach,31.6,23.17,C3
PRD0105,Long About,322.19,233.97,C2
PRD0106,Seven Type,280.32,208.21,C4
PRD0107,Serve Everyone,64.82,51.5,C1
PRD0108,Month Sound,277.34,217.28,C2
PRD0109,Could Movement,280.74,208.58,C5
PRD0110,While Born,161.05,127.21,C1
PRD0111,Truth Process,450.47,324.79,C1
PRD0112,Fire Thought,336.8,247.67,C2
PRD0113,Purpose Movement,443.23,328.27,C5
PRD0114,Politics Decide,377.24,298.99,C5
PRD0115,Claim Hour,433.66,345.9,C2
PRD0116,Sound Color,441.89,310.42,C2
PRD0117,Notice Start,393.37,291.55,C3
PRD0118,Win Nice,140.73,109.59,C2
PRD0119,Why A,197.45,138.98,C1
PRD0120,Place Game,118.99,93.01,C4
PRD0121,Middle After,181.33,141.81,C4
PRD0122,Brother Woman,119.23,91.33,C2
PRD0123,Him Unit,170.85,134.36,C4
PRD0124,Theory Surface,182.06,136.72,C3
PRD0125,Food Education,172.26,121.06,C5
PRD0126,Article Effect,97.5,77.63,C3
PRD0127,Unit Our,28.75,21.84,C3
PRD0128,Your Bar,366.99,268.4,C3
PRD0129,Bed Sign,492.28,350.29,C5
PRD0130,Mention Team,103.14,72.66,C5
PRD0131,Authority Soon,10.83,8.58,C4
PRD0132,No Space,346.56,275.18,C5
PRD0133,Car Career,188.47,133.25,C2
PRD0134,Receive May,315.35,241.66,C3
PRD0135,Your Often,362.68,264.77,C1
PRD0136,Company Evidence,336.78,246.73,C3
PRD0137,News Turn,281.66,202.57,C3
PRD0138,Policy Land,341.89,270.19,C4
PRD0139,Development Woman,288.86,213.93,C5
PRD0140,Notice Someone,158.9,114.57,C1
PRD0141,Show Road,307.26,224.98,C5
PRD0142,Deep Sell,226.66,163.51,C4
PRD0143,Forget Inside,398.93,317.54,C4
PRD0144,Remain Rate,332.84,242.43,C2
PRD0145,Hour Left,174.24,136.23,C5
PRD0146,We Nation,339.67,245.4,C2
PRD0147,Live Camera,82.2,57.92,C2
PRD0148,End Down,309.52,240.45,C4
PRD0149,Attack Ground,213.08,162.58,C4
PRD0150,Against Per,361.99,267.29,C2
PRD0151,Once Drug,129.55,99.18,C4
PRD0152,Per Discussion,447.4,351.68,C1
PRD0153,Account Avoid,391.43,282.57,C1
PRD0154,Second Program,237.63,179.59,C5
PRD0155,Artist Drop,233.67,182.3,C1
PRD0156,Author Western,494.07,375.27,C5
PRD0157,Almost Trade,310.2,239.45,C4
PRD0158,Give Avoid,219.1,173.24,C5
PRD0159,My Economy,449.63,348.18,C4
PRD0160,Family Relationship,230.53,178.7,C4
PRD0161,Mention Difficult,385.25,289.76,C3
PRD0162,Notice Cause,144.55,102.31,C2
PRD0163,Several Worry,124.9,91.62,C3
PRD0164,Us Own,49.48,35.38,C5
PRD0165,Part Material,350.04,269.76,C4
PRD0166,Eight Still,213.29,156.36,C1
PRD0167,Material Surface,213.73,154.03,C4
PRD0168,Investment Customer,200.84,156.05,C4
PRD0169,Between Bill,429.8,333.77,C1
PRD0170,Reason Lawyer,243.72,193.58,C4
PRD0171,Health Land,379.2,297.8,C3
PRD0172,Item Manage,273.73,211.72,C4
PRD0173,Treat Shoulder,449.93,336.92,C5
PRD0174,Arm Report,223.56,157.14,C3
PRD0175,Ready Race,337.75,263.38,C3
PRD0176,Billion Ask,421.85,334.09,C2
PRD0177,Interesting Should,271.72,214.85,C5
PRD0178,Group Such,286.55,201.36,C5
PRD0179,Training Boy,76.49,57.07,C4
PRD0180,Energy Dark,137.48,100.74,C1
PRD0181,Customer Not,170.15,132.06,C4
PRD0182,List Challenge,146.35,116.37,C4
PRD0183,Knowledge Cover,133.61,94.62,C4
PRD0184,Family Maintain,377.02,265.88,C1
PRD0185,Enjoy Two,119.87,84.73,C3
PRD0186,Wind Bag,379.57,301.74,C1
PRD0187,Level System,421.22,321.03,C2
PRD0188,Training Total,71.85,55.11,C2
PRD0189,Oil Billion,474.4,354.14,C5
PRD0190,Apply Reach,385.78,276.52,C3
PRD0191,Now Think,482.23,372.2,C5
PRD0192,Administration Better,482.71,343.12,C2
PRD0193,With Some,465.15,352.39,C1
PRD0194,Time Economic,204.36,157.66,C4
PRD0195,Compare Investment,300.13,235.02,C1
PRD0196,Mention Medical,59.93,46.58,C2
PRD0197,Different Treatment,404.71,315.52,C5
PRD0198,Institution Weight,393.49,289.11,C5
PRD0199,Artist Community,334.15,236.21,C4
PRD0200,Hundred Able,16.2,12.02,C3
PRD0201,In Evidence,61.71,49.13,C4
PRD0202,With Step,356.58,265.13,C4
PRD0203,Still Look,483.08,351.2,C5
PRD0204,Feeling Land,389.57,290.81,C5
PRD0205,Same Side,141.51,111.11,C5
PRD0206,Step Only,146.67,109.28,C1
PRD0207,Recently Serious,289.23,221.79,C4
PRD0208,Message Clear,24.06,18.89,C3
PRD0209,Customer Fine,248.9,183.06,C2
PRD0210,Director Article,176.77,139.3,C3
PRD0211,Particularly Simply,282.34,212.22,C3
PRD0212,Occur Ask,51.95,40.11,C2
PRD0213,Small Former,282.04,204.21,C4
PRD0214,Art Apply,326.49,244.57,C4
PRD0215,Pattern Me,55.6,40.15,C1
PRD0216,Morning Wide,160.04,121.34,C2
PRD0217,Tonight Nice,281.2,206.51,C4
PRD0218,Coach Art,172.09,132.56,C5
PRD0219,Movie Be,160.25,115.87,C3
PRD0220,Today Cultural,164.62,127.46,C2
PRD0221,Authority Physical,103.86,80.37,C2
PRD0222,Author Republican,365.05,291.19,C3
PRD0223,Training Easy,302.43,241.35,C5
PRD0224,International Call,155.16,114.21,C2
PRD0225,Year Voice,16.93,12.76,C3
PRD0226,Over Employee,32.3,22.79,C3
PRD0227,Particular Phone,351.73,250.65,C3
PRD0228,Among President,60.27,42.26,C4
PRD0229,Beat Kind,240.0,178.57,C3
PRD0230,Really Past,483.09,350.36,C2
PRD0231,Other Necessary,65.9,46.56,C4
PRD0232,Four Worry,46.3,35.32,C4
PRD0233,Every Democratic,84.35,65.89,C1
PRD0234,Relationship Sense,51.74,37.5,C3
PRD0235,Former Edge,384.58,292.52,C5
PRD0236,Evidence Individual,120.59,90.71,C5
PRD0237,Catch Remain,455.17,332.15,C4
PRD0238,Quite First,495.12,361.7,C5
PRD0239,Lot Four,39.51,31.45,C5
PRD0240,Woman Society,474.32,341.88,C1
PRD0241,Would Baby,139.68,98.91,C2
PRD0242,Act Low,95.17,67.33,C2
PRD0243,Pretty Order,210.17,161.61,C1
PRD0244,Black Back,152.72,110.44,C4
PRD0245,Note Different,354.46,264.22,C3
PRD0246,Move Evidence,462.72,360.36,C2
PRD0247,Cause Worker,333.98,264.97,C5
PRD0248,Happy Upon,66.24,47.86,C4
PRD0249,Authority Until,455.12,356.21,C2
PRD0250,Election Hope,39.22,30.56,C1
PRD0251,Feel Coach,376.99,285.35,C5
PRD0252,Left These,225.19,168.19,C3
PRD0253,Of Score,352.87,280.27,C3
PRD0254,Five Population,274.59,204.23,C5
PRD0255,Surface Ready,29.53,21.95,C5
PRD0256,Newspaper Across,305.82,214.87,C3
PRD0257,Region Technology,481.34,377.18,C2
PRD0258,Once Firm,297.69,209.0,C5
PRD0259,Work Record,292.36,226.96,C3
PRD0260,Body Wrong,240.55,184.06,C2
PRD0261,Unit Center,98.93,75.04,C3
PRD0262,Everything Business,484.84,362.18,C4
PRD0263,Voice Both,173.32,132.94,C4
PRD0264,Situation On,171.6,132.02,C2
PRD0265,Clearly Expert,334.67,247.67,C3
PRD0266,Father Point,27.98,19.83,C5
PRD0267,Develop Series,168.4,134.22,C3
PRD0268,Gun Democrat,433.81,339.45,C4
PRD0269,Right Protect,332.25,250.6,C1
PRD0270,Tonight Everything,36.56,27.49,C4
PRD0271,Mouth Middle,380.66,290.27,C5
PRD0272,Enter Western,109.74,82.85,C1
PRD0273,Whatever Throughout,224.68,172.96,C3
PRD0274,Approach Best,24.15,18.43,C1
PRD0275,Protect Land,357.79,261.57,C2
PRD0276,Themselves Factor,280.6,199.04,C1
PRD0277,Another About,236.11,168.05,C1
PRD0278,Goal Spend,254.2,196.16,C2
PRD0279,Case Public,355.65,263.73,C5
PRD0280,Everybody Color,490.32,355.17,C4
PRD0281,Site Letter,80.87,58.15,C5
PRD0282,Ok Season,259.04,204.11,C5
PRD0283,Late Option,145.36,113.24,C1
PRD0284,Act Brother,176.54,137.48,C4
PRD0285,Bag You,412.07,300.1,C3
PRD0286,Use Rock,420.36,318.63,C3
PRD0287,Well Church,433.98,323.17,C4
PRD0288,Offer Also,179.11,135.26,C4
PRD0289,They Hope,194.83,154.56,C5
PRD0290,Pass Old,490.58,355.12,C2
PRD0291,Choose Law,124.45,96.77,C4
PRD0292,Care Analysis,165.91,123.98,C1
PRD0293,Foot His,199.18,152.65,C4
PRD0294,Way Worker,252.71,177.83,C2
PRD0295,Style Traditional,483.02,354.15,C5
PRD0296,Among Way,438.35,326.15,C1
PRD0297,Help Develop,456.12,319.98,C5
PRD0298,Rest Enjoy,210.89,161.43,C2
PRD0299,Reflect Board,46.67,36.32,C2
PRD0300,Health State,175.9,135.31,C3
PRD0301,Opportunity Usually,427.36,335.58,C1
PRD0302,Two Investment,196.2,143.55,C5
PRD0303,Pressure So,437.47,307.8,C4
PRD0304,Clear Wish,125.04,96.09,C1
PRD0305,Wonder Economic,498.74,386.36,C3
PRD0306,Treatment Commercial,489.39,379.78,C4
PRD0307,Such Talk,227.4,174.96,C1
PRD0308,Cost Upon,32.54,25.37,C1
PRD0309,Itself Ago,185.65,137.95,C3
PRD0310,Country Since,270.27,204.48,C2
PRD0311,Window Go,93.29,66.04,C2
PRD0312,Stay Word,313.66,227.12,C4
PRD0313,Its Suffer,80.13,59.79,C5
PRD0314,Relationship Treat,235.19,180.32,C3
PRD0315,Simple Talk,451.59,346.71,C4
PRD0316,Energy Example,46.19,36.7,C2
PRD0317,Collection Store,156.59,124.68,C5
PRD0318,Science Box,233.85,170.76,C3
PRD0319,Idea Turn,428.13,304.26,C4
PRD0320,American Town,290.24,219.85,C4
PRD0321,Many Doctor,20.75,16.25,C3
PRD0322,Decision Technology,144.5,109.33,C4
PRD0323,Why Magazine,456.2,353.33,C1
PRD0324,Hard Focus,390.11,282.05,C3
PRD0325,Tend Stuff,117.31,84.35,C3
PRD0326,Try Drive,342.1,264.13,C3
PRD0327,Dog Agent,317.84,251.2,C2
PRD0328,Receive Data,161.38,120.08,C1
PRD0329,Inside Get,188.78,134.63,C5
PRD0330,Family Treatment,170.09,126.13,C3
PRD0331,Available Spring,74.76,56.36,C2
PRD0332,Family Have,270.12,213.76,C3
PRD0333,Put Mr,135.92,106.35,C2
PRD0334,Instead Respond,484.02,353.1,C4
PRD0335,Threat Not,404.07,301.77,C3
PRD0336,Glass Wrong,78.97,62.91,C1
PRD0337,Ahead Business,483.96,377.71,C4
PRD0338,Understand Every,54.25,40.12,C3
PRD0339,Could Partner,272.92,203.46,C3
PRD0340,Evidence American,296.43,231.88,C3
PRD0341,Boy Pick,63.09,45.64,C3
PRD0342,Leader Hair,313.58,249.08,C1
PRD0343,Shoulder Stop,458.48,331.09,C3
PRD0344,Former Least,321.35,239.86,C1
PRD0345,Police Much,328.13,233.52,C3
PRD0346,Business Image,473.67,345.99,C1
PRD0347,We Part,66.9,48.4,C4
PRD0348,Customer Environmental,76.48,57.01,C5
PRD0349,Another Section,215.37,166.75,C5
PRD0350,Least Ability,443.85,339.76,C2
PRD0351,Nature Wish,311.67,247.44,C4
PRD0352,Sure Nothing,26.03,19.19,C3
PRD0353,Right Serve,227.9,164.91,C4
PRD0354,Yard Site,58.68,45.1,C3
PRD0355,Since Religious,451.83,345.42,C5
PRD0356,Debate Himself,205.09,147.46,C1
PRD0357,Lawyer Available,475.02,371.66,C1
PRD0358,Red Wife,334.76,255.81,C1
PRD0359,Give Price,485.84,342.55,C5
PRD0360,Former Record,129.35,92.17,C3
PRD0361,Thus Capital,110.55,86.56,C5
PRD0362,Service We,111.51,80.47,C5
PRD0363,First Movement,170.99,122.22,C2
PRD0364,For Reflect,11.39,8.95,C5
PRD0365,Issue General,493.89,372.4,C2
PRD0366,Interesting Same,63.86,50.24,C2
PRD0367,Find Once,17.28,13.46,C2
PRD0368,Care Dark,298.54,209.45,C2
PRD0369,Kitchen Red,35.68,27.62,C3
PRD0370,Yard Hundred,65.69,46.4,C5
PRD0371,Research Smile,391.23,293.94,C4
PRD0372,Weight Contain,231.48,167.16,C1
PRD0373,Power Outside,31.25,24.32,C5
PRD0374,Fish Into,157.8,120.61,C5
PRD0375,Official These,39.8,29.77,C1
PRD0376,A Fly,218.87,155.57,C4
PRD0377,Few Develop,46.01,32.58,C4
PRD0378,Law Stock,82.68,58.92,C5
PRD0379,Particularly Policy,320.21,241.71,C5
PRD0380,Real Fund,196.64,149.4,C3
PRD0381,Make Letter,232.32,176.69,C3
PRD0382,Letter Republican,398.62,283.59,C1
PRD0383,Different Much,363.21,262.06,C5
PRD0384,Material Student,445.16,330.03,C4
PRD0385,Wear Style,205.38,158.75,C4
PRD0386,Simply Condition,219.11,167.95,C3
PRD0387,Reason Become,477.26,366.86,C3
PRD0388,Federal Myself,42.9,33.6,C4
PRD0389,Record Property,221.62,171.64,C1
PRD0390,President Government,407.77,308.13,C3
PRD0391,Better Tell,478.75,362.02,C5
PRD0392,Society Easy,211.3,166.37,C1
PRD0393,Remember Force,435.37,336.15,C4
PRD0394,Down Sure,304.2,223.64,C3
PRD0395,Decide Choice,258.63,185.04,C5
PRD0396,Ago Any,119.88,85.21,C4
PRD0397,Election May,190.1,147.57,C5
PRD0398,Popular To,120.82,89.76,C5
PRD0399,Special Baby,487.53,381.17,C5
PRD0400,Lose Join,340.74,257.49,C5
PRD0401,Various Professional,465.25,364.27,C5
PRD0402,Parent Day,24.19,17.59,C3
PRD0403,Serious Same,461.55,339.29,C3
PRD0404,If Miss,436.23,330.07,C2
PRD0405,Instead Either,44.1,34.14,C4
PRD0406,Choose Reality,54.96,41.39,C1
PRD0407,Rise Accept,215.72,158.36,C4
PRD0408,Walk Social,162.7,119.17,C3
PRD0409,Traditional Speech,302.15,238.2,C5
PRD0410,Value Both,87.13,66.37,C2
PRD0411,Start Large,143.33,109.82,C1
PRD0412,Discuss Control,307.47,227.96,C4
PRD0413,Summer Safe,379.92,270.27,C2
PRD0414,National Majority,64.34,49.4,C4
PRD0415,Apply Onto,248.45,190.49,C5
PRD0416,Enjoy Whose,118.05,94.26,C1
PRD0417,Thus Campaign,13.77,10.05,C1
PRD0418,Loss Cell,386.0,299.7,C2
PRD0419,Suddenly Majority,170.78,119.68,C3
PRD0420,Region Nice,96.09,70.92,C4
PRD0421,Operation Physical,255.13,199.85,C2
PRD0422,Free Someone,45.32,35.63,C3
PRD0423,Vote Level,223.75,166.91,C1
PRD0424,Position Teacher,432.43,327.6,C1
PRD0425,Serve Wait,208.17,159.04,C5
PRD0426,Mother Last,66.43,46.64,C3
PRD0427,Then What,94.22,74.88,C3
PRD0428,Official Like,417.69,330.8,C4
PRD0429,Watch Cold,223.99,159.16,C1
PRD0430,Six Training,298.55,224.63,C4
PRD0431,May Listen,436.56,338.15,C4
PRD0432,Event Society,173.2,124.15,C2
PRD0433,End Though,320.28,241.19,C5
PRD0434,Public Factor,453.9,333.59,C2
PRD0435,Space Star,125.77,89.88,C2
PRD0436,Near Memory,95.01,67.96,C2
PRD0437,Produce Edge,96.8,75.24,C1
PRD0438,Face Less,237.34,179.52,C4
PRD0439,Bank Sell,229.96,182.22,C5
PRD0440,Feeling Easy,325.07,259.62,C5
PRD0441,Expert Government,433.48,330.62,C3
PRD0442,Front Walk,225.48,168.41,C2
PRD0443,Now Be,400.2,303.81,C3
PRD0444,Certainly City,258.6,189.05,C3
PRD0445,During Identify,28.43,20.95,C4
PRD0446,Rule Claim,47.6,37.43,C3
PRD0447,Seat Difficult,311.35,233.73,C1
PRD0448,Attack Join,294.36,234.14,C4
PRD0449,Involve Give,230.37,179.91,C1
PRD0450,Occur Man,167.55,125.25,C2
PRD0451,Just Assume,479.28,357.09,C2
PRD0452,Design There,491.37,348.1,C3
PRD0453,Kitchen Improve,29.18,22.49,C2
PRD0454,West Speech,266.79,203.02,C4
PRD0455,Pattern Young,192.7,140.34,C3
PRD0456,Safe Again,389.49,299.09,C4
PRD0457,Tough Up,396.72,303.38,C1
PRD0458,Southern Parent,171.55,129.66,C1
PRD0459,Husband Me,149.23,115.26,C4
PRD0460,According Yes,437.91,321.14,C5
PRD0461,He Fire,335.17,265.35,C5
PRD0462,Some In,484.17,372.74,C3
PRD0463,Tonight Wait,73.19,56.42,C4
PRD0464,Thing Kind,161.7,119.28,C1
PRD0465,Nothing Small,408.46,313.29,C3
PRD0466,Simple Office,55.79,42.79,C5
PRD0467,Such Player,187.3,137.9,C5
PRD0468,Water Discussion,476.07,349.52,C2
PRD0469,Method Discuss,104.08,83.26,C4
PRD0470,Explain Least,47.81,37.5,C2
PRD0471,Mention Air,258.77,195.11,C1
PRD0472,Improve Great,28.5,20.91,C5
PRD0473,Relate Respond,74.21,54.74,C5
PRD0474,Success Interview,98.61,75.86,C2
PRD0475,Shake Company,406.43,291.23,C5
PRD0476,Though Manage,31.41,23.13,C4
PRD0477,Wide Care,485.1,369.19,C2
PRD0478,Prevent None,124.66,90.24,C4
PRD0479,Agreement What,452.95,325.85,C4
PRD0480,Indeed Person,492.38,367.4,C5
PRD0481,Organization Recognize,391.28,293.57,C3
PRD0482,Agreement Because,483.47,377.92,C4
PRD0483,Question Later,77.82,56.42,C5
PRD0484,Central Trial,438.32,331.13,C4
PRD0485,Main Court,358.59,269.51,C1
PRD0486,Apply Ever,149.68,116.2,C1
PRD0487,Hundred Generation,230.17,172.93,C3
PRD0488,Development Look,54.94,43.46,C4
PRD0489,General Green,443.47,351.69,C4
PRD0490,Sort Until,36.1,27.08,C4
PRD0491,Hundred Fall,199.22,141.08,C2
PRD0492,Soldier Theory,23.81,18.88,C2
PRD0493,Know Entire,397.78,283.92,C3
PRD0494,They Beat,459.52,343.37,C3
PRD0495,Many After,381.83,285.19,C2
PRD0496,So Notice,12.57,8.9,C5
PRD0497,Area Hard,115.67,82.7,C3
PRD0498,Door Rate,268.61,191.01,C5
PRD0499,Authority Statement,126.44,90.05,C3
PRD0500,Reach Amount,215.71,168.12,C2
