order_id,customer_id,order_datetime,payment_method,channel,order_status
ORD00040,CUS0267,2025-10-29 02:53:17,Cash,Offline,Completed
ORD00041,CUS0291,2025-03-01 23:54:20,E-Wallet,Online,Completed
ORD00042,CUS0377,2025-10-20 09:58:18,E-Wallet,Offline,Completed
ORD00043,CUS0275,2025-08-24 09:06:35,Credit Card,Offline,Completed
ORD00044,CUS0428,2025-03-12 21:09:59,Credit Card,Offline,Completed
ORD00045,CUS0203,2025-02-09 10:59:24,Cash,Online,Completed
ORD00046,CUS0412,2025-01-29 07:44:08,Credit Card,Online,Completed
ORD00047,CUS0422,2025-08-08 13:28:09,E-Wallet,Offline,Completed
ORD00048,CUS0417,2025-11-05 03:58:43,Credit Card,Online,Completed
ORD00049,CUS0066,2025-01-11 05:02:05,E-Wallet,Online,Completed
ORD00050,CUS0474,2025-04-13 17:21:35,Cash,Offline,Completed
ORD00051,CUS0126,2025-07-17 03:08:14,E-Wallet,Offline,Completed
ORD00052,CUS0411,2025-01-24 18:37:41,E-Wallet,Online,Completed
ORD00053,CUS0306,2025-08-06 08:21:34,Credit Card,Online,Completed
ORD00054,CUS0137,2025-10-03 08:58:16,Credit Card,Online,Completed
ORD00055,CUS0486,2025-04-23 12:28:23,Cash,Online,Completed
ORD00056,CUS0309,2025-07-20 19:34:33,Credit Card,Online,Completed
ORD00057,CUS0073,2025-08-21 08:57:57,Cash,Online,Completed
ORD00058,CUS0070,2025-01-12 18:45:22,Cash,Online,Completed
ORD00059,CUS0115,2025-04-08 23:27:06,E-Wallet,Online,Completed
ORD00060,CUS0395,2025-12-22 12:07:45,Credit Card,Online,Completed
ORD00061,CUS0122,2025-07-25 14:03:53,E-Wallet,Offline,Completed
ORD00062,CUS0172,2025-07-25 04:49:36,Credit Card,Offline,Completed
ORD00063,CUS0215,2025-10-15 15:24:42,E-Wallet,Online,Completed
ORD00064,CUS0038,2025-01-17 15:03:56,Credit Card,Offline,Completed
ORD00065,CUS0456,2025-04-25 12:10:24,Credit Card,Offline,Completed
ORD00066,CUS0098,2025-12-10 10:29:45,Cash,Offline,Completed
ORD00067,CUS0185,2025-01-04 02:04:12,E-Wallet,Online,Completed
ORD00068,CUS0103,2025-05-10 19:41:12,Credit Card,Online,Completed
ORD00069,CUS0158,2025-04-13 19:03:55,E-Wallet,Offline,Completed
ORD00070,CUS0239,2025-05-25 22:07:10,Credit Card,Offline,Completed
ORD00071,CUS0212,2025-03-12 22:30:14,Cash,Online,Completed
ORD00072,CUS0215,2025-10-01 16:05:38,Cash,Offline,Completed
ORD00073,CUS0410,2025-09-22 03:36:41,Credit Card,Online,Completed
ORD00074,CUS0322,2025-12-21 11:33:36,Cash,Online,Completed
ORD00075,CUS0142,2025-09-13 18:24:35,Credit Card,Offline,Completed
ORD00076,CUS0445,2025-02-05 10:42:36,E-Wallet,Offline,Completed
ORD00077,CUS0312,2025-05-29 06:03:19,Credit Card,Offline,Completed
ORD00078,CUS0432,2025-09-27 21:19:08,Cash,Offline,Completed
ORD00079,CUS0499,2025-02-06 18:21:40,E-Wallet,Offline,Completed
ORD00080,CUS0389,2025-10-21 22:16:13,Credit Card,Offline,Completed
ORD00081,CUS0269,2025-02-24 16:01:50,Credit Card,Online,Completed
ORD00082,CUS0361,2025-08-02 17:33:54,E-Wallet,Online,Completed
ORD00083,CUS0229,2025-05-20 02:07:41,E-Wallet,Online,Completed
ORD00084,CUS0026,2025-08-02 10:25:30,Cash,Online,Completed
ORD00085,CUS0210,2025-11-07 03:18:31,Cash,Online,Completed
ORD00086,CUS0115,2025-04-16 14:28:58,Cash,Offline,Completed
ORD00087,CUS0155,2025-02-25 03:50:03,Cash,Offline,Completed
ORD00088,CUS0495,2025-06-18 13:41:45,Cash,Offline,Completed
ORD00089,CUS0134,2025-11-19 05:08:27,Credit Card,Offline,Completed
ORD00090,CUS0349,2025-02-03 22:59:20,Cash,Online,Completed
ORD00091,CUS0133,2025-09-19 12:29:24,E-Wallet,Offline,Completed
ORD00092,CUS0093,2025-11-18 22:08:11,Credit Card,Offline,Completed
ORD00093,CUS0115,2025-10-21 22:06:38,E-Wallet,Offline,Completed
ORD00094,CUS0484,2025-08-27 03:16:02,E-Wallet,Online,Completed
ORD00095,CUS0028,2025-10-07 20:27:41,Credit Card,Online,Completed
ORD00096,CUS0399,2025-02-28 14:54:24,E-Wallet,Online,Completed
ORD00097,CUS0082,2025-12-17 18:35:52,Credit Card,Offline,Completed
ORD00098,CUS0197,2025-07-07 22:24:13,Credit Card,Online,Completed
ORD00099,CUS0272,2025-09-23 06:06:12,Credit Card,Online,Completed
ORD00100,CUS0177,2025-08-26 02:35:09,Credit Card,Offline,Completed
ORD00101,CUS0086,2025-12-05 14:27:53,Credit Card,Online,Completed
ORD00102,CUS0176,2025-05-05 06:36:14,E-Wallet,Offline,Completed
ORD00103,CUS0109,2025-10-13 20:50:01,Cash,Online,Completed
ORD00104,CUS0328,2025-05-04 09:41:05,Cash,Offline,Completed
ORD00105,CUS0335,2025-05-12 03:43:25,Credit Card,Online,Completed
ORD00106,CUS0243,2025-11-08 13:36:05,Credit Card,Online,Completed
ORD00107,CUS0340,2025-06-06 20:21:18,Cash,Offline,Completed
ORD00108,CUS0402,2025-11-21 04:58:47,E-Wallet,Online,Completed
ORD00109,CUS0184,2025-10-09 19:11:34,E-Wallet,Offline,Completed
ORD00110,CUS0170,2025-05-22 02:22:22,Credit Card,Online,Completed
ORD00111,CUS0428,2025-03-18 00:15:25,Credit Card,Offline,Completed
ORD00112,CUS0371,2025-08-11 04:20:34,E-Wallet,Online,Completed
ORD00113,CUS0437,2025-01-28 07:11:06,E-Wallet,Offline,Completed
ORD00114,CUS0169,2025-02-25 11:22:43,E-Wallet,Offline,Completed
ORD00115,CUS0140,2025-08-17 12:22:13,Cash,Offline,Completed
ORD00116,CUS0467,2025-07-01 02:21:33,Cash,Offline,Completed
ORD00117,CUS0058,2025-10-20 22:05:24,E-Wallet,Offline,Completed
ORD00118,CUS0007,2025-02-21 21:57:01,Cash,Online,Completed
ORD00119,CUS0340,2025-11-13 20:18:59,Credit Card,Offline,Completed
ORD00120,CUS0259,2025-07-19 03:46:49,E-Wallet,Offline,Completed
ORD00121,CUS0115,2025-12-19 16:43:19,E-Wallet,Offline,Completed
ORD00122,CUS0256,2025-10-12 10:42:28,E-Wallet,Offline,Completed
ORD00123,CUS0053,2025-02-01 17:29:48,E-Wallet,Offline,Completed
ORD00124,CUS0310,2025-02-04 06:10:47,Cash,Offline,Completed
ORD00125,CUS0419,2025-04-25 04:38:47,E-Wallet,Online,Completed
ORD00126,CUS0338,2025-12-06 23:54:46,Credit Card,Online,Completed
ORD00127,CUS0072,2025-02-28 18:37:25,Credit Card,Offline,Completed
ORD00128,CUS0024,2025-04-12 23:06:17,E-Wallet,Online,Completed
ORD00129,CUS0467,2025-05-13 06:02:08,Cash,Online,Completed
ORD00130,CUS0165,2025-02-02 11:30:23,E-Wallet,Offline,Completed
ORD00131,CUS0069,2025-03-07 05:22:15,E-Wallet,Online,Completed
ORD00132,CUS0108,2025-10-08 23:40:20,Cash,Offline,Completed
ORD00133,CUS0327,2025-04-04 21:23:58,Cash,Offline,Completed
ORD00134,CUS0483,2025-06-22 06:24:27,Cash,Offline,Completed
ORD00135,CUS0103,2025-04-04 04:38:44,Credit Card,Offline,Completed
ORD00136,CUS0417,2025-11-16 02:28:59,Credit Card,Offline,Completed
ORD00137,CUS0409,2025-08-25 16:57:05,Cash,Offline,Completed
ORD00138,CUS0490,2025-02-21 02:56:49,Cash,Offline,Completed
ORD00139,CUS0318,2025-02-15 02:58:08,Credit Card,Offline,Completed
ORD00140,CUS0091,2025-07-27 00:27:19,Credit Card,Online,Completed
ORD00141,CUS0136,2025-01-15 09:52:52,Credit Card,Online,Completed
ORD00142,CUS0397,2025-11-09 16:15:08,E-Wallet,Offline,Completed
ORD00143,CUS0179,2025-05-26 22:36:17,Credit Card,Online,Completed
ORD00144,CUS0319,2025-11-08 22:45:37,Credit Card,Online,Completed
ORD00145,CUS0192,2025-11-30 20:08:09,E-Wallet,Offline,Completed
ORD00146,CUS0264,2025-02-16 22:48:22,Credit Card,Online,Completed
ORD00147,CUS0110,2025-05-14 11:46:23,Credit Card,Offline,Completed
ORD00148,CUS0482,2025-11-04 12:29:03,Cash,Online,Completed
ORD00149,CUS0286,2025-12-13 13:03:53,Cash,Online,Completed
ORD00150,CUS0200,2025-05-17 00:29:43,Cash,Online,Completed
ORD00151,CUS0388,2025-09-06 07:42:25,Cash,Online,Completed
ORD00152,CUS0311,2025-07-04 03:54:47,E-Wallet,Online,Completed
ORD00153,CUS0153,2025-04-06 16:03:37,Credit Card,Offline,Completed
ORD00154,CUS0485,2025-11-15 16:41:11,E-Wallet,Online,Completed
ORD00155,CUS0083,2025-09-06 10:48:20,Credit Card,Online,Completed
ORD00156,CUS0035,2025-08-14 21:40:53,Credit Card,Offline,Completed
ORD00157,CUS0336,2025-08-23 08:49:12,Credit Card,Online,Completed
ORD00158,CUS0300,2025-09-27 17:44:52,Cash,Online,Completed
ORD00159,CUS0329,2025-03-31 02:43:09,E-Wallet,Offline,Completed
ORD00160,CUS0056,2025-10-26 22:18:33,Cash,Online,Completed
ORD00161,CUS0072,2025-01-03 21:23:22,E-Wallet,Online,Completed
ORD00162,CUS0417,2025-11-07 12:19:48,Cash,Offline,Completed
ORD00163,CUS0397,2025-04-16 19:12:39,E-Wallet,Online,Completed
ORD00164,CUS0229,2025-02-27 14:05:09,Credit Card,Online,Completed
ORD00165,CUS0119,2025-05-26 08:06:49,E-Wallet,Online,Completed
ORD00166,CUS0021,2025-01-27 13:32:30,Credit Card,Offline,Completed
ORD00167,CUS0181,2025-05-22 07:30:58,E-Wallet,Offline,Completed
ORD00168,CUS0309,2025-06-18 06:27:56,Cash,Online,Completed
ORD00169,CUS0108,2025-02-04 00:50:35,Cash,Online,Completed
ORD00170,CUS0133,2025-06-19 13:54:24,Cash,Online,Completed
ORD00171,CUS0320,2025-08-22 20:44:39,Credit Card,Offline,Completed
ORD00172,CUS0268,2025-11-24 15:30:18,Credit Card,Offline,Completed
ORD00173,CUS0308,2025-06-19 04:57:20,Cash,Online,Completed
ORD00174,CUS0462,2025-02-01 05:44:44,Cash,Online,Completed
ORD00175,CUS0380,2025-09-24 08:48:49,E-Wallet,Online,Completed
ORD00176,CUS0449,2025-11-30 22:56:01,E-Wallet,Offline,Completed
ORD00177,CUS0267,2025-12-02 18:52:45,E-Wallet,Online,Completed
ORD00178,CUS0300,2025-10-07 15:08:26,E-Wallet,Offline,Completed
ORD00179,CUS0285,2025-03-14 14:34:43,E-Wallet,Offline,Completed
ORD00180,CUS0401,2025-04-30 15:42:12,Credit Card,Online,Completed
ORD00181,CUS0351,2025-04-26 11:48:02,Credit Card,Online,Completed
ORD00182,CUS0020,2025-12-29 16:53:03,E-Wallet,Offline,Completed
ORD00183,CUS0337,2025-06-27 00:16:23,Credit Card,Offline,Completed
ORD00184,CUS0358,2025-09-13 15:12:45,Cash,Online,Completed
ORD00185,CUS0045,2025-06-23 08:15:11,E-Wallet,Offline,Completed
ORD00186,CUS0282,2025-04-12 07:53:04,Cash,Offline,Completed
ORD00187,CUS0090,2025-01-14 22:26:04,Cash,Offline,Completed
ORD00188,CUS0175,2025-02-26 16:33:15,Cash,Online,Completed
ORD00189,CUS0395,2025-06-21 01:38:11,E-Wallet,Online,Completed
ORD00190,CUS0118,2025-08-22 00:55:49,E-Wallet,Offline,Completed
ORD00191,CUS0477,2025-04-27 13:09:01,E-Wallet,Online,Completed
ORD00192,CUS0103,2025-01-12 09:38:23,Cash,Online,Completed
ORD00193,CUS0183,2025-08-07 19:00:44,Credit Card,Online,Completed
ORD00194,CUS0315,2025-05-19 10:10:05,Cash,Online,Completed
ORD00195,CUS0162,2025-12-07 20:54:41,Cash,Offline,Completed
ORD00196,CUS0270,2025-05-12 14:00:02,E-Wallet,Offline,Completed
ORD00197,CUS0235,2025-06-06 13:26:19,Cash,Online,Completed
ORD00198,CUS0242,2025-06-22 07:42:23,E-Wallet,Offline,Completed
ORD00199,CUS0206,2025-01-20 16:25:16,E-Wallet,Offline,Completed
ORD00200,CUS0370,2025-11-12 23:01:40,Credit Card,Offline,Completed
ORD00201,CUS0435,2025-12-13 18:18:24,E-Wallet,Offline,Completed
ORD00202,CUS0131,2025-09-06 20:33:13,Cash,Offline,Completed
ORD00203,CUS0185,2025-04-09 05:23:35,Cash,Offline,Completed
ORD00204,CUS0090,2025-08-20 09:21:51,E-Wallet,Offline,Completed
ORD00205,CUS0324,2025-01-31 10:15:12,Credit Card,Online,Completed
ORD00206,CUS0364,2025-01-26 05:02:49,Cash,Offline,Completed
ORD00207,CUS0129,2025-05-28 10:40:41,Credit Card,Online,Completed
ORD00208,CUS0014,2025-04-19 14:16:13,Cash,Offline,Completed
ORD00209,CUS0044,2025-09-17 05:50:15,E-Wallet,Offline,Completed
ORD00210,CUS0015,2025-11-14 03:34:54,Cash,Online,Completed
ORD00211,CUS0486,2025-07-11 00:27:36,Cash,Online,Completed
ORD00212,CUS0413,2025-09-01 18:00:48,E-Wallet,Online,Completed
ORD00213,CUS0274,2025-04-05 10:31:51,Cash,Online,Completed
ORD00214,CUS0452,2025-10-30 07:40:36,E-Wallet,Offline,Completed
ORD00215,CUS0041,2025-02-03 15:34:00,Cash,Offline,Completed
ORD00216,CUS0381,2025-11-25 04:44:31,E-Wallet,Offline,Completed
ORD00217,CUS0317,2025-05-05 11:52:45,E-Wallet,Offline,Completed
ORD00218,CUS0005,2025-10-02 03:44:45,Credit Card,Online,Completed
ORD00219,CUS0256,2025-03-01 21:21:45,E-Wallet,Offline,Completed
ORD00220,CUS0488,2025-05-08 03:16:38,Credit Card,Online,Completed
ORD00221,CUS0425,2025-06-02 13:16:01,Credit Card,Online,Completed
ORD00222,CUS0395,2025-06-23 01:57:46,Cash,Online,Completed
ORD00223,CUS0373,2025-09-08 17:37:23,Cash,Online,Completed
ORD00224,CUS0102,2025-02-28 11:46:49,Credit Card,Offline,Completed
ORD00225,CUS0407,2025-09-11 14:17:04,Cash,Offline,Completed
ORD00226,CUS0022,2025-05-10 02:35:33,Cash,Offline,Completed
ORD00227,CUS0174,2025-09-10 05:11:13,Credit Card,Online,Completed
ORD00228,CUS0404,2025-05-22 15:30:33,E-Wallet,Offline,Completed
ORD00229,CUS0021,2025-01-04 14:45:41,Cash,Offline,Completed
ORD00230,CUS0420,2025-10-13 00:55:12,Cash,Offline,Completed
ORD00231,CUS0187,2025-08-06 08:30:56,E-Wallet,Online,Completed
ORD00232,CUS0098,2025-01-29 07:44:12,Cash,Offline,Completed
ORD00233,CUS0268,2025-09-01 03:19:13,Credit Card,Online,Completed
ORD00234,CUS0337,2025-08-13 09:51:07,Cash,Offline,Completed
ORD00235,CUS0476,2025-04-28 20:07:39,E-Wallet,Online,Completed
ORD00236,CUS0456,2025-12-26 00:54:37,E-Wallet,Offline,Completed
ORD00237,CUS0021,2025-12-08 18:50:01,E-Wallet,Online,Completed
ORD00238,CUS0052,2025-09-28 09:25:05,Cash,Online,Completed
ORD00239,CUS0327,2025-09-26 03:58:46,Cash,Offline,Completed
ORD00240,CUS0282,2025-04-26 05:04:39,E-Wallet,Offline,Completed
ORD00241,CUS0131,2025-02-24 18:49:22,E-Wallet,Offline,Completed
ORD00242,CUS0114,2025-06-16 22:50:44,E-Wallet,Online,Completed
ORD00243,CUS0471,2025-02-23 16:26:34,Credit Card,Online,Completed
ORD00244,CUS0136,2025-11-11 14:32:11,Cash,Offline,Completed
ORD00245,CUS0470,2025-02-11 08:28:10,Cash,Online,Completed
ORD00246,CUS0089,2025-12-20 01:42:41,Cash,Offline,Completed
ORD00247,CUS0375,2025-05-28 22:11:37,Credit Card,Offline,Completed
ORD00248,CUS0419,2025-07-09 12:45:45,E-Wallet,Offline,Completed
ORD00249,CUS0435,2025-01-02 08:07:16,Cash,Online,Completed
ORD00250,CUS0202,2025-06-14 00:04:59,Cash,Offline,Completed
ORD00251,CUS0202,2025-10-31 00:48:52,Credit Card,Online,Completed
ORD00252,CUS0397,2025-02-15 18:15:55,Credit Card,Online,Completed
ORD00253,CUS0058,2025-06-13 13:20:06,E-Wallet,Offline,Completed
ORD00254,CUS0412,2025-12-19 21:10:50,Cash,Offline,Completed
ORD00255,CUS0080,2025-02-05 11:17:19,Credit Card,Online,Completed
ORD00256,CUS0445,2025-03-21 13:53:18,Credit Card,Offline,Completed
ORD00257,CUS0280,2025-12-23 08:49:24,Cash,Offline,Completed
ORD00258,CUS0031,2025-06-02 22:39:30,Credit Card,Offline,Completed
ORD00259,CUS0338,2025-07-18 18:36:33,Credit Card,Offline,Completed
ORD00260,CUS0195,2025-03-02 11:03:30,E-Wallet,Online,Completed
ORD00261,CUS0272,2025-05-18 10:20:03,E-Wallet,Offline,Completed
ORD00262,CUS0321,2025-05-07 16:52:31,E-Wallet,Offline,Completed
ORD00263,CUS0116,2025-12-13 15:57:51,E-Wallet,Online,Completed
ORD00264,CUS0219,2025-12-20 17:09:35,Cash,Offline,Completed
ORD00265,CUS0159,2025-07-29 23:14:34,E-Wallet,Online,Completed
ORD00266,CUS0486,2025-01-06 05:32:42,Credit Card,Online,Completed
ORD00267,CUS0382,2025-10-24 05:10:35,Credit Card,Offline,Completed
ORD00268,CUS0311,2025-01-06 21:26:48,Cash,Online,Completed
ORD00269,CUS0069,2025-11-23 09:10:38,Cash,Offline,Completed
ORD00270,CUS0008,2025-07-02 18:12:58,E-Wallet,Offline,Completed
ORD00271,CUS0475,2025-11-12 20:44:06,Cash,Offline,Completed
ORD00272,CUS0202,2025-09-12 13:14:04,Cash,Online,Completed
ORD00273,CUS0022,2025-08-25 04:53:32,Cash,Online,Completed
ORD00274,CUS0147,2025-06-15 23:35:38,Credit Card,Offline,Completed
ORD00275,CUS0399,2025-05-30 09:08:21,E-Wallet,Online,Completed
ORD00276,CUS0333,2025-05-09 04:55:02,Cash,Online,Completed
ORD00277,CUS0325,2025-07-17 10:59:30,Credit Card,Offline,Completed
ORD00278,CUS0215,2025-07-10 10:24:41,E-Wallet,Offline,Completed
ORD00279,CUS0122,2025-10-06 11:44:55,Cash,Online,Completed
ORD00280,CUS0076,2025-02-11 06:29:15,Cash,Online,Completed
ORD00281,CUS0026,2025-03-05 23:54:33,E-Wallet,Online,Completed
ORD00282,CUS0294,2025-06-05 22:21:33,E-Wallet,Online,Completed
ORD00283,CUS0432,2025-03-06 09:21:22,E-Wallet,Online,Completed
ORD00284,CUS0323,2025-08-05 12:58:29,E-Wallet,Online,Completed
ORD00285,CUS0315,2025-07-17 13:34:35,Cash,Offline,Completed
ORD00286,CUS0378,2025-05-19 21:20:13,Cash,Online,Completed
ORD00287,CUS0260,2025-11-04 14:43:13,Credit Card,Offline,Completed
ORD00288,CUS0371,2025-09-08 15:10:42,Credit Card,Online,Completed
ORD00289,CUS0331,2025-06-09 05:56:40,E-Wallet,Online,Completed
ORD00290,CUS0417,2025-04-14 02:27:27,Cash,Offline,Completed
ORD00291,CUS0372,2025-08-14 19:36:32,Cash,Offline,Completed
ORD00292,CUS0410,2025-12-03 17:59:04,Credit Card,Offline,Completed
ORD00293,CUS0085,2025-11-08 22:43:41,Credit Card,Offline,Completed
ORD00294,CUS0017,2025-12-29 07:29:35,E-Wallet,Offline,Completed
ORD00295,CUS0425,2025-10-21 08:41:23,Credit Card,Offline,Completed
ORD00296,CUS0248,2025-02-07 18:54:07,Credit Card,Online,Completed
ORD00297,CUS0481,2025-08-25 11:07:13,Credit Card,Online,Completed
ORD00298,CUS0268,2025-08-13 07:39:02,Credit Card,Online,Completed
ORD00299,CUS0382,2025-05-30 16:56:20,Credit Card,Offline,Completed
ORD00300,CUS0140,2025-06-30 16:35:36,Credit Card,Online,Completed
ORD00301,CUS0139,2025-10-01 15:05:05,Cash,Online,Completed
ORD00302,CUS0015,2025-12-04 12:16:18,Cash,Offline,Completed
ORD00303,CUS0219,2025-02-06 06:59:50,Credit Card,Offline,Completed
ORD00304,CUS0048,2025-06-11 15:41:12,Credit Card,Offline,Completed
ORD00305,CUS0187,2025-07-31 13:39:23,Credit Card,Offline,Completed
ORD00306,CUS0088,2025-01-12 21:06:14,E-Wallet,Offline,Completed
ORD00307,CUS0333,2025-04-16 12:36:19,E-Wallet,Online,Completed
ORD00308,CUS0303,2025-06-03 02:43:06,E-Wallet,Offline,Completed
ORD00309,CUS0167,2025-03-23 03:04:27,E-Wallet,Online,Completed
ORD00310,CUS0395,2025-06-15 11:38:47,E-Wallet,Offline,Completed
ORD00311,CUS0232,2025-05-19 17:06:48,E-Wallet,Offline,Completed
ORD00312,CUS0469,2025-03-13 04:24:51,Credit Card,Offline,Completed
ORD00313,CUS0066,2025-06-20 22:12:02,Credit Card,Offline,Completed
ORD00314,CUS0444,2025-02-15 07:06:45,Credit Card,Online,Completed
ORD00315,CUS0097,2025-12-19 05:05:39,E-Wallet,Offline,Completed
ORD00316,CUS0070,2025-11-29 16:57:36,Credit Card,Online,Completed
ORD00317,CUS0197,2025-05-31 07:23:52,Credit Card,Offline,Completed
ORD00318,CUS0257,2025-10-26 15:10:17,E-Wallet,Offline,Completed
ORD00319,CUS0374,2025-09-14 04:42:07,E-Wallet,Offline,Completed
ORD00320,CUS0242,2025-09-27 18:42:47,Cash,Online,Completed
ORD00321,CUS0170,2025-01-03 18:26:18,E-Wallet,Offline,Completed
ORD00322,CUS0323,2025-05-17 08:53:17,Cash,Offline,Completed
ORD00323,CUS0147,2025-03-23 12:18:36,Credit Card,Offline,Completed
ORD00324,CUS0144,2025-04-14 05:34:05,E-Wallet,Offline,Completed
ORD00325,CUS0466,2025-11-17 04:14:53,Cash,Online,Completed
ORD00326,CUS0421,2025-04-07 06:39:49,E-Wallet,Online,Completed
ORD00327,CUS0387,2025-11-02 04:59:51,Credit Card,Online,Completed
ORD00328,CUS0243,2025-10-17 10:19:38,Credit Card,Offline,Completed
ORD00329,CUS0327,2025-05-31 22:57:48,E-Wallet,Offline,Completed
ORD00330,CUS0267,2025-03-29 22:13:10,Cash,Offline,Completed
ORD00331,CUS0269,2025-11-24 16:02:09,Cash,Online,Completed
ORD00332,CUS0062,2025-05-31 21:34:01,Cash,Online,Completed
ORD00333,CUS0095,2025-01-06 15:40:14,Cash,Online,Completed
ORD00334,CUS0473,2025-02-25 19:53:13,E-Wallet,Offline,Completed
ORD00335,CUS0417,2025-05-17 06:48:30,Credit Card,Offline,Completed
ORD00336,CUS0330,2025-10-25 06:45:08,E-Wallet,Online,Completed
ORD00337,CUS0077,2025-10-26 11:49:13,Credit Card,Online,Completed
ORD00338,CUS0433,2025-08-07 09:07:31,Cash,Online,Completed
ORD00339,CUS0184,2025-05-02 23:20:44,Cash,Offline,Completed
ORD00340,CUS0236,2025-12-16 03:13:36,Cash,Offline,Completed
ORD00341,CUS0357,2025-12-28 09:21:18,Credit Card,Offline,Completed
ORD00342,CUS0123,2025-03-30 00:38:11,E-Wallet,Offline,Completed
ORD00343,CUS0256,2025-12-21 08:24:41,Credit Card,Offline,Completed
ORD00344,CUS0370,2025-03-12 03:04:52,E-Wallet,Online,Completed
ORD00345,CUS0235,2025-08-23 13:46:42,Cash,Online,Completed
ORD00346,CUS0242,2025-10-29 14:12:42,Credit Card,Online,Completed
ORD00347,CUS0050,2025-10-19 16:25:59,Cash,Offline,Completed
ORD00348,CUS0316,2025-07-30 08:07:45,Credit Card,Online,Completed
ORD00349,CUS0165,2025-02-16 21:48:44,Credit Card,Online,Completed
ORD00350,CUS0284,2025-08-20 14:29:06,E-Wallet,Online,Completed
ORD00351,CUS0399,2025-12-22 18:10:43,Credit Card,Online,Completed
ORD00352,CUS0106,2025-03-05 05:35:38,Cash,Online,Completed
ORD00353,CUS0256,2025-11-26 02:50:27,Cash,Online,Completed
ORD00354,CUS0442,2025-07-08 06:55:57,E-Wallet,Online,Completed
ORD00355,CUS0496,2025-06-09 05:08:24,E-Wallet,Offline,Completed
ORD00356,CUS0108,2025-02-06 05:54:45,E-Wallet,Offline,Completed
ORD00357,CUS0249,2025-10-19 15:02:18,Credit Card,Online,Completed
ORD00358,CUS0347,2025-07-03 13:11:22,Credit Card,Offline,Completed
ORD00359,CUS0378,2025-08-18 20:16:09,Credit Card,Offline,Completed
ORD00360,CUS0369,2025-10-13 11:28:52,Cash,Online,Completed
ORD00361,CUS0215,2025-11-03 20:42:59,E-Wallet,Online,Completed
ORD00362,CUS0211,2025-08-17 08:15:12,Credit Card,Offline,Completed
ORD00363,CUS0303,2025-04-05 17:22:13,Cash,Online,Completed
ORD00364,CUS0241,2025-07-21 06:10:57,E-Wallet,Online,Completed
